epoch,train_loss,val_loss,accuracy,precision,recall,f1,time_sec
1,0.07654421329498291,0.08886140584945679,0.9726666666666667,0.9971949509116409,0.948,0.9719753930280246,1638.58
2,0.028019397258758544,0.041553135961294174,0.992,0.9973045822102425,0.9866666666666667,0.9919571045576407,739.92
3,0.013497575521469116,0.05327266454696655,0.9906666666666667,0.9986449864498645,0.9826666666666667,0.9905913978494624,699.41
4,0.00115364708006382,0.06150364130735397,0.992,0.9986486486486487,0.9853333333333333,0.9919463087248322,689.85
